1,5,1,8
2,6,7,8
3,7,6,8
4,9,4,7
5,4,9,8
6,10,4,1
7,5,7,9
8,1,1,9
9,9,7,5
10,4,8,10
11,2,10,4
12,10,5,7
13,6,6,6
14,9,8,5
15,2,2,1
16,7,1,3
17,3,7,7
18,9,5,2
19,4,2,1
20,2,10,9
21,8,7,6
22,6,3,5
23,10,2,10
24,8,8,10
25,6,8,2
26,4,6,1
27,7,3,8
28,9,2,6
29,3,4,5
30,8,4,1
31,2,4,1
32,3,7,1
33,5,5,7
34,4,5,3
35,1,6,9
36,2,8,4
37,9,7,9
38,1,2,9
39,1,6,10
40,5,6,10
41,4,9,8
42,5,9,3
43,2,5,8
44,9,8,10
45,2,1,6
46,9,6,3
47,1,6,3
48,8,6,1
49,10,4,1
50,5,5,7
51,7,1,6
52,9,4,4
53,2,6,4
54,6,5,4
55,4,3,7
56,8,8,5
57,1,6,6
58,7,9,1
59,2,4,8
60,6,3,7
61,7,9,10
62,5,9,6
63,3,1,4
64,10,9,10
65,9,4,2
66,4,9,7
67,5,1,2
68,9,4,6
69,2,2,10
70,8,5,6
71,2,2,3
72,8,1,7
73,7,10,6
74,5,1,8
75,5,1,3
76,5,7,10
77,5,7,2
78,8,6,6
79,9,2,6
80,7,4,8
81,1,8,5
82,10,2,8
83,4,9,5
84,6,3,9
85,6,1,3
86,10,7,1
87,9,5,1
88,3,10,10
89,4,1,5
90,10,1,4
91,4,9,10
92,10,3,1
93,4,5,4
94,8,6,1
95,5,2,2
96,6,9,5
97,4,7,4
98,2,7,10
99,1,6,4
100,4,2,5
